,epsilon,distance_epsilon,mu,distance_mu,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
132,0.3924,0.02240000000000003,0.78,0.5800000000000001,10.0,10,29.842981338500977,0.37,0.19999999999999998,100,100,8,1,200
133,0.32980000000000004,0.12019999999999997,0.52,0.48000000000000004,10.0,10,29.19083857536316,0.45,0.04,100,100,4,1,200
134,0.16040000000000001,0.049600000000000005,0.52,0.1600000000000001,10.0,5,38.218904972076416,0.21000000000000002,0.35999999999999993,100,100,4,1,200
135,0.2114,0.04139999999999999,0.3,0.21999999999999992,1.0,10,25.40248703956604,0.17,0.5199999999999999,100,100,1,1,200
136,0.2388,0.028799999999999992,0.31,0.04999999999999993,0.1,5,30.8534197807312,0.21000000000000002,0.35999999999999993,100,100,1,1,200
137,0.2871,0.0029000000000000137,0.68,0.16000000000000014,0.1,40,31.654463291168213,0.29000000000000004,0.5199999999999999,100,100,4,1,200
138,0.11,0.020000000000000004,0.26,0.4999999999999999,10.0,40,34.545010566711426,0.13,0.7599999999999999,100,100,8,1,200
139,0.1119,0.018100000000000005,0.23,0.37,10.0,5,34.21575450897217,0.13,0.6,100,100,4,1,200
140,0.2916,0.041600000000000026,0.21,0.71,1.0,10,33.77930569648743,0.25,0.9199999999999999,100,100,4,1,200
141,0.3114,0.058599999999999985,0.81,0.050000000000000155,1.0,20,31.556161403656006,0.37,0.7599999999999999,100,100,4,1,200
142,0.3694,0.0005999999999999894,0.46,0.21999999999999992,10.0,20,30.690320014953613,0.37,0.6799999999999999,100,100,4,1,200
143,0.0095,0.0405,0.02,0.4199999999999999,0.1,40,32.03083848953247,0.05,0.4399999999999999,100,100,4,1,200
144,0.15380000000000002,0.016199999999999992,0.54,0.5,1.0,5,33.43182849884033,0.17,0.04,100,100,8,1,200
145,0.0218,0.028200000000000003,0.67,0.08999999999999986,10.0,10,29.17230749130249,0.05,0.7599999999999999,100,100,1,1,200
146,0.4823,0.032299999999999995,0.26,0.14,10.0,5,29.46582055091858,0.45,0.12,100,100,4,1,200
147,0.08750000000000001,0.0024999999999999883,0.23,0.6099999999999999,0.1,40,30.75613045692444,0.09,0.8399999999999999,100,100,16,1,200
148,0.4202,0.010199999999999987,0.14,0.020000000000000018,10.0,20,31.343850135803223,0.41000000000000003,0.12,100,100,8,1,200
149,0.0264,0.016399999999999998,0.96,0.52,0.1,40,34.305185079574585,0.01,0.4399999999999999,100,100,16,1,200
150,0.4153,0.03470000000000001,0.43,0.009999999999999898,0.1,20,36.68908977508545,0.45,0.4399999999999999,100,100,8,1,200
151,0.0995,0.0305,0.63,0.1100000000000001,1.0,10,31.430021047592163,0.13,0.5199999999999999,100,100,4,1,200
152,0.2924,0.0023999999999999577,0.25,0.5099999999999999,10.0,40,36.05621314048767,0.29000000000000004,0.7599999999999999,100,100,8,1,200
153,0.1502,0.0998,0.38,0.3799999999999999,0.1,5,31.781534671783447,0.25,0.7599999999999999,100,100,8,1,200
154,0.1024,0.012400000000000008,0.78,0.2600000000000001,1.0,40,30.10719132423401,0.09,0.5199999999999999,100,100,4,1,200
155,0.2074,0.0774,0.88,0.1200000000000001,1.0,40,31.25968885421753,0.13,0.7599999999999999,100,100,4,1,200
156,0.3513,0.021299999999999986,0.41000000000000003,0.18999999999999995,10.0,40,27.15884280204773,0.33,0.6,100,100,1,1,200
157,0.1199,0.010099999999999998,0.3,0.05999999999999994,10.0,20,34.904186487197876,0.13,0.35999999999999993,100,100,4,1,200
158,0.3251,0.035099999999999965,0.8200000000000001,0.060000000000000164,10.0,10,35.03350305557251,0.29000000000000004,0.7599999999999999,100,100,8,1,200
159,0.2071,0.042899999999999994,0.26,0.22,10.0,10,23.559927701950073,0.25,0.04,100,100,1,1,200
160,0.38230000000000003,0.012300000000000033,0.14,0.1,0.1,20,31.30513072013855,0.37,0.04,100,100,8,1,200
161,0.41290000000000004,0.04290000000000005,0.5700000000000001,0.53,1.0,5,25.801417589187622,0.37,0.04,100,100,1,1,200
162,0.2948,0.004799999999999971,0.66,0.019999999999999907,1.0,10,28.197246313095093,0.29000000000000004,0.6799999999999999,100,100,16,1,200
163,0.1802,0.02980000000000002,0.1,0.09999999999999998,0.1,10,28.353530406951904,0.21000000000000002,0.19999999999999998,100,100,1,1,200
164,0.0519,0.15810000000000002,0.65,0.21000000000000013,10.0,5,40.24241662025452,0.21000000000000002,0.4399999999999999,100,100,4,1,200
165,0.16190000000000002,0.008099999999999996,0.76,0.08000000000000007,1.0,5,33.434589862823486,0.17,0.6799999999999999,100,100,8,1,200
166,0.1897,0.09970000000000001,0.31,0.36999999999999994,0.1,20,30.776647329330444,0.09,0.6799999999999999,100,100,4,1,200
167,0.1446,0.05460000000000001,0.51,0.07000000000000012,0.1,20,35.0789053440094,0.09,0.4399999999999999,100,100,8,1,200
168,0.2989,0.0489,0.01,0.3499999999999999,1.0,5,31.779650926589966,0.25,0.35999999999999993,100,100,8,1,200
169,0.053000000000000005,0.043000000000000003,0.21,0.09,10.0,40,34.433610677719116,0.01,0.12,100,100,8,1,200
170,0.2581,0.03190000000000004,0.45,0.01000000000000012,10.0,5,33.49825835227966,0.29000000000000004,0.4399999999999999,100,100,8,1,200
171,0.1985,0.05149999999999999,0.38,0.1399999999999999,10.0,5,35.84927010536194,0.25,0.5199999999999999,100,100,8,1,200
172,0.0379,0.052099999999999994,0.17,0.18999999999999992,10.0,20,29.04150128364563,0.09,0.35999999999999993,100,100,1,1,200
173,0.2056,0.03559999999999999,0.58,0.5399999999999999,1.0,40,32.25202703475952,0.17,0.04,100,100,16,1,200
174,0.08510000000000001,0.035100000000000006,0.31,0.19,10.0,40,38.169365644454956,0.05,0.12,100,100,4,1,200
175,0.4807,0.07069999999999999,0.09,0.2699999999999999,10.0,10,38.97951364517212,0.41000000000000003,0.35999999999999993,100,100,8,1,200
176,0.0795,0.010499999999999995,0.15,0.44999999999999996,1.0,40,28.047876119613647,0.09,0.6,100,100,1,1,200
177,0.437,0.067,0.3,0.21999999999999992,1.0,5,34.79759359359741,0.37,0.5199999999999999,100,100,8,1,200
178,0.2336,0.016399999999999998,0.92,1.1102230246251565e-16,0.1,40,34.88659310340881,0.25,0.9199999999999999,100,100,4,1,200
179,0.4585,0.08850000000000002,0.24,0.6799999999999999,0.1,10,34.67554211616516,0.37,0.9199999999999999,100,100,4,1,200
180,0.08420000000000001,0.0858,0.5700000000000001,0.10999999999999988,10.0,5,30.86502957344055,0.17,0.6799999999999999,100,100,16,1,200
181,0.2046,0.045399999999999996,0.68,0.3200000000000001,10.0,10,26.145780563354492,0.25,0.35999999999999993,100,100,1,1,200
182,0.1642,0.03420000000000001,0.35000000000000003,0.15000000000000005,10.0,5,34.674747705459595,0.13,0.19999999999999998,100,100,8,1,200
183,0.07490000000000001,0.024900000000000005,0.9400000000000001,0.7400000000000001,10.0,40,38.09483766555786,0.05,0.19999999999999998,100,100,8,1,200
184,0.27340000000000003,0.016600000000000004,0.84,1.1102230246251565e-16,1.0,5,31.063263654708862,0.29000000000000004,0.8399999999999999,100,100,1,1,200
185,0.0839,0.07390000000000001,0.79,0.5900000000000001,10.0,40,36.45791411399841,0.01,0.19999999999999998,100,100,16,1,200
186,0.40290000000000004,0.007099999999999995,0.1,0.58,1.0,40,30.36918592453003,0.41000000000000003,0.6799999999999999,100,100,1,1,200
187,0.0173,0.007299999999999999,0.64,0.039999999999999925,10.0,40,30.84430241584778,0.01,0.6799999999999999,100,100,1,1,200
188,0.0031000000000000003,0.0069,0.3,0.020000000000000018,1.0,5,30.415104150772095,0.01,0.27999999999999997,100,100,4,1,200
189,0.1774,0.0474,0.58,0.09999999999999998,0.1,10,35.56769824028015,0.13,0.6799999999999999,100,100,4,1,200
190,0.001,0.009000000000000001,0.53,0.49000000000000005,10.0,10,28.09152603149414,0.01,0.04,100,100,1,1,200
191,0.1183,0.10830000000000001,0.5700000000000001,0.21000000000000013,1.0,40,32.724077224731445,0.01,0.35999999999999993,100,100,16,1,200
192,0.307,0.09699999999999998,0.11,0.3299999999999999,10.0,20,28.337482690811157,0.21000000000000002,0.4399999999999999,100,100,16,1,200
193,0.31120000000000003,0.021199999999999997,0.28,0.15999999999999986,1.0,5,34.46369528770447,0.29000000000000004,0.4399999999999999,100,100,16,1,200
194,0.19210000000000002,0.02210000000000001,0.29,0.4699999999999999,1.0,40,32.56626510620117,0.17,0.7599999999999999,100,100,1,1,200
195,0.0592,0.0092,0.5,0.06000000000000011,0.1,5,29.34273624420166,0.05,0.4399999999999999,100,100,1,1,200
196,0.10840000000000001,0.018400000000000014,0.59,0.07000000000000006,1.0,10,33.01049470901489,0.09,0.5199999999999999,100,100,4,1,200
197,0.0367,0.05329999999999999,0.8300000000000001,0.55,0.1,10,34.024863719940186,0.09,0.27999999999999997,100,100,16,1,200
198,0.4803,0.07029999999999997,0.8,0.36000000000000015,1.0,10,37.43427085876465,0.41000000000000003,0.4399999999999999,100,100,16,1,200
199,0.27540000000000003,0.05459999999999998,0.79,0.35000000000000014,1.0,20,30.867565870285034,0.33,0.4399999999999999,100,100,1,1,200
200,0.1837,0.01369999999999999,0.93,0.33000000000000007,10.0,40,31.910010814666748,0.17,0.6,100,100,16,1,200
201,0.31420000000000003,0.0958,0.23,0.37,0.1,20,27.297818899154663,0.41000000000000003,0.6,100,100,1,1,200
202,0.377,0.08699999999999997,0.11,0.08999999999999998,10.0,40,38.22774529457092,0.29000000000000004,0.19999999999999998,100,100,8,1,200
203,0.4413,0.07130000000000003,0.87,0.67,10.0,10,31.41192603111267,0.37,0.19999999999999998,100,100,16,1,200
204,0.3511,0.05890000000000001,0.63,0.04999999999999993,0.1,40,30.698415756225586,0.41000000000000003,0.6799999999999999,100,100,8,1,200
205,0.4476,0.0024000000000000132,0.53,0.06999999999999995,10.0,10,27.97904896736145,0.45,0.6,100,100,4,1,200
206,0.17300000000000001,0.0030000000000000027,0.8300000000000001,0.07000000000000017,0.1,20,26.812543630599976,0.17,0.7599999999999999,100,100,1,1,200
207,0.44380000000000003,0.006199999999999983,0.4,0.2799999999999999,1.0,5,33.33024883270264,0.45,0.6799999999999999,100,100,16,1,200
208,0.43320000000000003,0.01679999999999998,0.31,0.2099999999999999,10.0,40,32.46325922012329,0.45,0.5199999999999999,100,100,8,1,200
209,0.4949,0.044899999999999995,0.91,0.55,1.0,40,27.935239553451538,0.45,0.35999999999999993,100,100,1,1,200
210,0.3549,0.05510000000000004,0.8200000000000001,0.78,1.0,10,31.980403423309326,0.41000000000000003,0.04,100,100,8,1,200
211,0.4413,0.008699999999999986,0.93,0.81,1.0,10,31.539617776870728,0.45,0.12,100,100,4,1,200
212,0.1976,0.0524,0.65,0.21000000000000013,1.0,40,41.34860587120056,0.25,0.4399999999999999,100,100,16,1,200
213,0.23120000000000002,0.021199999999999997,0.81,0.37000000000000016,0.1,10,35.02158880233765,0.21000000000000002,0.4399999999999999,100,100,16,1,200
214,0.4067,0.03670000000000001,0.0,0.8399999999999999,10.0,40,34.88468098640442,0.37,0.8399999999999999,100,100,8,1,200
215,0.4761,0.10610000000000003,1.0,0.2400000000000001,10.0,10,34.92412495613098,0.37,0.7599999999999999,100,100,16,1,200
216,0.4595,0.04949999999999999,0.17,0.42999999999999994,1.0,5,24.095349311828613,0.41000000000000003,0.6,100,100,1,1,200
217,0.3073,0.017299999999999982,0.9,0.3800000000000001,1.0,10,34.92280912399292,0.29000000000000004,0.5199999999999999,100,100,8,1,200
218,0.0955,0.0455,0.9500000000000001,0.5100000000000002,10.0,10,31.638880014419556,0.05,0.4399999999999999,100,100,16,1,200
219,0.3604,0.009599999999999997,0.4,0.12000000000000005,0.1,10,22.741218328475952,0.37,0.27999999999999997,100,100,1,1,200
220,0.38770000000000004,0.022299999999999986,1.0,0.2400000000000001,10.0,20,29.174839973449707,0.41000000000000003,0.7599999999999999,100,100,8,1,200
221,0.3553,0.054700000000000026,0.65,0.37000000000000005,1.0,5,23.356398105621338,0.41000000000000003,0.27999999999999997,100,100,1,1,200
222,0.2192,0.030799999999999994,0.23,0.04999999999999996,1.0,10,33.315749168395996,0.25,0.27999999999999997,100,100,4,1,200
223,0.4605,0.01050000000000001,0.15,0.12999999999999998,10.0,40,31.960402727127075,0.45,0.27999999999999997,100,100,4,1,200
224,0.2466,0.11660000000000001,0.81,0.13000000000000012,1.0,10,30.827527284622192,0.13,0.6799999999999999,100,100,8,1,200
225,0.3286,0.0014000000000000123,0.49,0.21000000000000002,0.1,20,33.46704459190369,0.33,0.27999999999999997,100,100,4,1,200
226,0.215,0.07500000000000004,0.5700000000000001,0.029999999999999916,0.1,5,33.18442678451538,0.29000000000000004,0.6,100,100,8,1,200
227,0.1015,0.0685,0.26,0.09999999999999992,1.0,20,29.65804958343506,0.17,0.35999999999999993,100,100,4,1,200
228,0.32370000000000004,0.04629999999999995,0.41000000000000003,0.18999999999999995,0.1,20,29.377742528915405,0.37,0.6,100,100,16,1,200
229,0.4572,0.047199999999999964,0.22,0.45999999999999996,1.0,5,31.928773403167725,0.41000000000000003,0.6799999999999999,100,100,1,1,200
230,0.36100000000000004,0.031000000000000028,0.84,0.24,10.0,40,27.902842044830322,0.33,0.6,100,100,1,1,200
231,0.022600000000000002,0.0274,0.66,0.62,1.0,10,32.87913155555725,0.05,0.04,100,100,4,1,200
232,0.4752,0.0252,0.8,0.6000000000000001,10.0,5,37.96718382835388,0.45,0.19999999999999998,100,100,8,1,200
233,0.4446,0.034599999999999964,0.16,0.3599999999999999,1.0,40,36.11664438247681,0.41000000000000003,0.5199999999999999,100,100,16,1,200
234,0.1174,0.027400000000000008,0.52,0.3999999999999999,1.0,10,32.3718581199646,0.09,0.9199999999999999,100,100,8,1,200
235,0.4833,0.07329999999999998,0.92,0.16000000000000014,1.0,5,28.5001802444458,0.41000000000000003,0.7599999999999999,100,100,16,1,200
236,0.21980000000000002,0.08980000000000002,0.85,0.06999999999999995,1.0,40,37.517364263534546,0.13,0.9199999999999999,100,100,8,1,200
237,0.15080000000000002,0.0592,0.55,0.3500000000000001,10.0,20,34.5206995010376,0.21000000000000002,0.19999999999999998,100,100,16,1,200
238,0.39180000000000004,0.018199999999999994,0.28,0.16000000000000003,0.1,20,26.98271107673645,0.41000000000000003,0.12,100,100,1,1,200
239,0.0485,0.041499999999999995,0.25,0.42999999999999994,0.1,10,33.823261737823486,0.09,0.6799999999999999,100,100,4,1,200
240,0.449,0.07900000000000001,0.73,0.37000000000000005,0.1,5,36.99140191078186,0.37,0.35999999999999993,100,100,4,1,200
241,0.2621,0.0121,0.2,0.16,0.1,5,30.26612615585327,0.25,0.04,100,100,1,1,200
242,0.2856,0.044399999999999995,0.74,0.54,1.0,10,32.98110580444336,0.33,0.19999999999999998,100,100,4,1,200
243,0.3008,0.010799999999999976,0.53,0.09000000000000014,0.1,5,30.452972888946533,0.29000000000000004,0.4399999999999999,100,100,16,1,200
244,0.28700000000000003,0.08299999999999996,0.38,0.34,0.1,10,32.20013928413391,0.37,0.04,100,100,1,1,200
245,0.2987,0.031299999999999994,0.71,0.51,1.0,40,29.95854640007019,0.33,0.19999999999999998,100,100,4,1,200
246,0.2881,0.0781,0.67,0.009999999999999898,1.0,40,30.273167848587036,0.21000000000000002,0.6799999999999999,100,100,4,1,200
247,0.3004,0.1496,0.86,0.05999999999999994,10.0,20,37.058061599731445,0.45,0.9199999999999999,100,100,16,1,200
248,0.4214,0.0514,0.22,0.45999999999999996,1.0,5,36.55832886695862,0.37,0.6799999999999999,100,100,8,1,200
249,0.3597,0.1897,0.75,0.55,1.0,40,35.59017610549927,0.17,0.19999999999999998,100,100,16,1,200
250,0.3392,0.0892,0.1,0.58,1.0,10,27.70245337486267,0.25,0.6799999999999999,100,100,1,1,200
251,0.0347,0.015300000000000001,0.05,0.3899999999999999,10.0,40,37.40927839279175,0.05,0.4399999999999999,100,100,16,1,200
252,0.44830000000000003,0.0383,0.54,0.5,1.0,10,26.42506217956543,0.41000000000000003,0.04,100,100,1,1,200
253,0.271,0.019000000000000017,0.91,0.55,10.0,40,36.33749556541443,0.29000000000000004,0.35999999999999993,100,100,8,1,200
254,0.3119,0.10189999999999999,0.49,0.029999999999999916,1.0,5,25.98279881477356,0.21000000000000002,0.5199999999999999,100,100,8,1,200
255,0.2068,0.07680000000000001,0.05,0.14999999999999997,0.1,40,25.162373065948486,0.13,0.19999999999999998,100,100,1,1,200
256,0.1585,0.028499999999999998,0.31,0.04999999999999993,1.0,40,26.767355918884277,0.13,0.35999999999999993,100,100,1,1,200
257,0.0357,0.0257,0.78,0.05999999999999983,0.1,5,37.86892080307007,0.01,0.8399999999999999,100,100,8,1,200
258,0.0089,0.0011000000000000003,0.8,0.039999999999999813,0.1,20,25.54074192047119,0.01,0.8399999999999999,100,100,1,1,200
259,0.4198,0.009799999999999975,0.6900000000000001,0.25000000000000017,0.1,40,32.642491579055786,0.41000000000000003,0.4399999999999999,100,100,8,1,200
260,0.10260000000000001,0.05260000000000001,0.47000000000000003,0.030000000000000138,10.0,20,35.19715595245361,0.05,0.4399999999999999,100,100,4,1,200
261,0.0017000000000000001,0.0083,0.74,0.14,0.1,20,35.17046928405762,0.01,0.6,100,100,4,1,200
262,0.1867,0.0567,0.23,0.12999999999999992,10.0,10,34.99706435203552,0.13,0.35999999999999993,100,100,8,1,200
263,0.1423,0.05230000000000001,0.8,0.68,0.1,10,33.0509467124939,0.09,0.12,100,100,16,1,200
264,0.44170000000000004,0.031700000000000006,0.08,0.039999999999999994,10.0,40,32.46894884109497,0.41000000000000003,0.12,100,100,16,1,200
265,0.3416,0.05159999999999998,0.89,0.6100000000000001,0.1,5,26.249696254730225,0.29000000000000004,0.27999999999999997,100,100,4,1,200
