real_X0_low,real_X0_median,real_X0_high,estimated_X0_low,estimated_X0_median,estimated_X0_high
0.98584235,0.59911865,0.214037,0.99929893,0.6992581,0.20864902
0.5993692,0.44473773,0.67536944,0.41257676,0.16834418,0.6542447
0.4220903,0.4488353,0.6150653,0.3268248,0.2837579,0.72822446
0.25829476,0.055422246,0.7532759,0.21822202,0.07567945,0.8310667
0.805893,0.4044125,0.3824132,0.969081,0.3346731,0.4041057
0.39515358,0.4258644,0.6187023,0.4978069,0.56795746,0.6393302
0.21698403,0.58340245,0.24695379,0.17288142,0.5910085,0.18397096
0.484358,0.9699921,0.78131807,0.8706992,0.99982953,0.607527
0.66611373,0.67736584,0.55364203,0.17835763,0.74618375,0.68317884
0.99693185,0.45019764,0.8716714,0.16531761,0.1907489,0.9137287
0.052885175,0.16657066,0.50581723,0.52911687,0.0013081757,0.56956863
0.26563984,0.11303222,0.40511483,0.5019349,0.08886607,0.35794863
0.8280956,0.14342308,0.5002265,0.71428597,0.2674819,0.4724838
0.06485945,0.94292426,0.5739069,0.5776213,0.9570744,0.6763105
0.38826644,0.10568148,0.7558668,0.16368037,0.120597556,0.7953268
0.08664262,0.42330575,0.28902632,0.13642912,0.2583435,0.33416963
0.81981915,0.36903518,0.7526983,0.5463537,0.31708172,0.83361405
0.95064914,0.43565184,0.85505223,0.8652778,0.4205558,0.9456561
0.38681912,0.3333159,0.7472915,0.1415787,0.54459924,0.8498172
0.25616342,0.20307928,0.45372117,0.2006224,0.14727081,0.42850834
0.4990167,0.2830491,0.6490468,0.71583265,0.06518067,0.7414073
0.4560849,0.44764143,0.35286206,0.47882152,0.1537838,0.23920217
0.56520826,0.27273488,0.785518,0.20402372,0.06714965,0.8833503
0.28338814,0.3959269,0.21822,0.33088982,0.36468288,0.18377282
0.5762769,0.39149302,0.4993856,0.17967503,0.488167,0.42276525
0.03709197,0.29708207,0.54675776,0.0001487179,0.0008141936,0.57276803
0.70192754,0.587027,0.6032966,0.24048615,0.5563982,0.5340715
0.64642316,0.043620706,0.8649511,0.9445356,0.001088287,0.9336073
0.58835065,0.42385823,0.19887424,0.70362496,0.6070909,0.14689796
0.97631353,0.19009131,0.13960278,0.6708905,0.10970358,0.19170892
0.25515586,0.14894402,0.20671612,0.09461706,0.25313923,0.17239605
0.12647194,0.88110983,0.17957747,0.15611255,0.9327213,0.27495894
0.91634107,0.966146,0.8254789,0.17179662,0.7782172,0.98126906
0.043156624,0.32653558,0.4198504,6.252896e-05,0.50981253,0.42277345
0.43215573,0.020872295,0.265854,0.26388603,0.10340591,0.24615628
0.6567091,0.8758038,0.16916382,0.39885357,0.9606674,0.042794187
0.71512806,0.93173635,0.48353237,0.51450735,0.9977533,0.49463758
0.15353966,0.12822342,0.0032390952,0.1684199,0.31390664,7.968182e-05
0.09034407,0.7683725,0.99334645,0.72428197,0.9656714,0.99989104
0.29788142,0.22306895,0.8512686,0.0019035699,0.23460265,0.8228779
0.17320406,0.3967476,0.02235645,3.079524e-05,0.21896832,0.027937815
0.36382884,0.82078403,0.25771147,0.4012569,0.88827884,0.40591088
0.5989916,0.7511427,0.6290362,0.5707766,0.83725995,0.55410784
0.48631877,0.30682176,0.9206235,0.6395081,0.2744049,0.99978095
0.09853232,0.2418521,0.6111635,0.0005530822,0.05304604,0.71252805
0.30061775,0.70906174,0.27605402,0.08166107,0.84886396,0.3121676
0.3046049,0.35321718,0.46965396,0.17527963,0.3298653,0.3085844
0.37444526,0.70593095,0.80168533,0.65624,0.70587295,0.8160794
0.5692364,0.4793139,0.26604939,0.3085919,0.4315275,0.120255925
0.8911005,0.33683515,0.10503101,0.9616209,0.32878032,0.03924718
0.47706097,0.18552774,0.7601138,0.5761795,0.015509071,0.8648051
0.99717253,0.61849874,0.65380484,0.93612975,0.51490724,0.5191196
0.7870359,0.637078,0.87091994,0.62419456,0.84125954,0.9486815
0.040343642,0.2229327,0.30010998,0.44061565,0.21382238,0.32556504
0.29987895,0.40236747,0.51437384,0.46322003,0.47399715,0.67389643
0.022174835,0.1991421,0.3456375,0.38696846,0.37114462,0.31724977
0.3090148,0.88649,0.2780372,0.3912383,0.9072531,0.3114653
0.22796422,0.803186,0.46249396,0.49221689,0.7752772,0.30963102
0.85864997,0.80467373,0.2831744,0.9293981,0.5517524,0.23412885
0.93938154,0.43226367,0.15647894,0.442611,0.50051403,0.10298413
0.2197476,0.55007434,0.42420983,0.00022577621,0.7516817,0.3733069
0.5591922,0.52185017,0.5421367,0.34005696,0.6046999,0.46521676
0.6217966,0.16692448,0.5096693,0.43286175,0.038410235,0.67116076
0.22127354,0.21736324,0.7198539,0.24265863,0.07469271,0.68348974
0.35242003,0.6017371,0.4174875,0.7228705,0.9060471,0.50111574
0.99856627,0.9815204,0.89317995,0.8146756,0.9937762,0.9646015
0.97069335,0.38799542,0.039485693,0.9994349,0.57360923,9.305307e-05
0.79301226,0.49487925,0.33028382,0.8050825,0.324637,0.31312418
0.91815096,0.07622379,0.15624845,0.71305573,0.027091106,0.108395
0.43860453,0.47799826,0.2682929,0.24222717,0.72609955,0.18946764
0.9424632,0.3139217,0.35788924,0.6142377,0.2739888,0.25925225
0.57554495,0.1060403,0.3136633,0.690091,0.24607563,0.27123624
0.014371276,0.048847795,0.9259658,0.9999206,0.051450837,0.99962807
0.78147644,0.9603004,0.92487943,0.31832126,0.9905614,0.95387876
0.76997495,0.6992042,0.9474753,0.7782985,0.8334298,0.99989116
0.18781453,0.9728331,0.6079122,0.31813416,0.74792016,0.67404556
0.45110255,0.16152579,0.7528263,0.30932298,0.17061694,0.7122431
0.69542044,0.82164884,0.1098392,0.42685407,0.8091425,0.021128362
0.79068357,0.63596445,0.61777467,0.78451455,0.79508984,0.49550837
0.45031,0.17259991,0.915795,0.33725962,0.3964648,0.947241
0.6012192,0.08820987,0.06290728,0.41746843,0.20915748,0.034113787
0.11989969,0.747482,0.76260626,0.3509277,0.8551008,0.9343805
0.6235801,0.43616068,0.23282784,7.2953546e-05,0.15061633,0.13197494
0.41263258,0.0037285686,0.24281144,0.5421822,2.03108e-05,0.11475871
0.53727216,0.9002265,0.18881285,0.5754414,0.78211796,0.18694
0.8671679,0.31741738,0.028492332,0.9995665,0.35180894,7.101155e-05
0.38132054,0.9057158,0.19151294,0.36833477,0.8406315,0.16649814
0.65686405,0.04379928,0.3372236,0.8859801,0.030505318,0.24155758
0.32904786,0.18026567,0.3168611,0.48952088,0.18185726,0.2857286
0.78405875,0.29691356,0.25552386,0.6784689,0.34865305,0.15006103
0.73642766,0.058024824,0.6306304,0.79638076,0.048480317,0.75134784
0.7010791,0.64413667,0.94581056,0.59754574,0.7593506,0.93754625
0.22413826,0.4767986,0.29604727,0.38161132,0.63854766,0.24476701
0.75962955,0.9451937,0.52880716,0.5638597,0.9469726,0.4295551
0.37391633,0.32929063,0.36437845,0.29783636,0.25614223,0.2595937
0.2688182,0.67508054,0.94206303,0.4580983,0.57411903,0.9993199
0.12685734,0.5687432,0.41297108,0.15303838,0.055297285,0.44439593
0.86653095,0.59006363,0.66418386,0.9988865,0.6163256,0.80580795
0.39823693,0.7680054,0.10604489,0.30350026,0.92495906,0.103921495
0.28715515,0.38608015,0.19096547,0.27616242,0.42087525,0.017287819
